Id,Price
14038,184966.94
15053,300009.44
4765,220925.9
5809,175616.23
10783,150226.53
12915,215898.45
14549,296021.22
11993,221244.16
5172,229102.8
8649,95380.22
15370,204243.55
12427,165534.55
6452,229220.38
2408,252481.9
10953,140647.56
2823,89084.33
2119,117000.38
3000,231828.44
2829,183743.23
4909,394895.3
8862,521919.06
11935,127200.02
11852,215083.97
6641,571069.06
7704,241718.1
5073,244145.83
4378,337299.88
7550,173910.92
8054,95338.195
522,213374.17
89,283877.62
4785,189007.23
13253,178721.7
13905,154928.81
8384,176344.83
6486,402871.9
11703,103510.23
14591,287056.0
8224,191550.12
9371,229778.06
10739,171266.95
1853,197456.92
9833,196078.9
175,184501.02
10521,435462.06
7008,183826.31
1821,88464.42
14292,234052.27
7596,96029.164
13393,214733.34
2221,172795.86
10103,148862.2
2301,199215.45
6455,182946.36
16334,156476.61
3963,276349.9
10065,279119.9
3203,90303.664
1982,147636.77
12393,242402.23
16601,207641.67
4191,197343.8
7619,100471.95
7605,113617.22
9723,158148.94
11398,114063.09
3759,339414.56
8443,180538.9
1063,179784.47
6925,228584.0
10362,167023.97
2136,243479.88
14675,160292.16
9413,174952.64
4014,190762.98
12246,197101.05
14020,181167.64
2435,266989.03
7758,254236.33
12162,184737.92
15600,261086.03
6832,259293.02
2952,116661.59
2855,267609.8
7488,153038.22
11248,238779.45
9613,510700.44
16674,210364.31
3918,198183.08
11902,243824.8
13395,242107.1
1836,212786.0
1671,305732.6
9558,156375.02
13887,415398.56
4280,286564.44
14319,217349.25
13671,291058.1
9753,110620.63
13577,165018.95
14756,175188.95
3973,92127.06
13957,274570.72
11765,113250.43
2930,184172.97
6496,241419.6
8361,270071.62
9970,378581.53
3276,192625.05
6761,201121.08
11448,150513.47
12428,204804.84
8583,313452.53
2516,225889.69
14635,224746.81
12377,213798.19
14571,212821.67
3975,186403.48
14822,293371.97
367,250466.98
9703,373510.06
10935,269680.62
5267,168601.97
8753,309688.6
11279,435909.12
8691,184324.9
16188,354879.4
10337,203425.39
12087,317296.3
6072,175899.98
6600,155312.3
10726,265978.84
3428,146061.73
